,Id,Name,Nation,Team,League,Born,Mac,Pos,Dripling,Press,Pas,Şut,Gole_katkı,Dakika
401,401,Gianluca Busio,USA,Venezia,Serie A,2002,29,MF,0.00225,0.0,0.07349923177508991,0.027783333333333337,0.03834210526315789,0.5700497221409769
403,403,Sergio Busquets,ESP,Barcelona,La Liga,1988,36,MF,0.019073768197088465,0.0,0.12820610766045548,0.04831666666666667,0.04421052631578948,0.935068733547821
420,420,Yannick Cahuzac,FRA,Lens,Ligue 1,1985,17,MF,0.0017500000000000003,0.013635,0.03804761904761905,0.0,0.0,0.18046212342790288
434,434,Hakan «alhanolu,TUR,Inter,Serie A,1994,34,MF,0.02248684210526316,0.01008,0.08936995750245177,0.046584507042253524,0.19711052631578946,0.7250658087159989
443,443,Eduardo Camavinga,FRA,Real Madrid,La Liga,2002,25,MF,0.025352743561030233,0.026000000000000002,0.10857359703606842,0.06236666666666667,0.11292631578947368,0.3480549868382568
445,445,JosÈ CampaÒa,ESP,Levante,La Liga,1993,20,MF,0.03404255319148936,0.041625,0.0735718971341397,0.08639342723004695,0.09968947368421054,0.41561860193038896
452,452,Antonio Candreva,ITA,Sampdoria,Serie A,1987,36,MFFW,0.022468505039193728,0.01728,0.0796563582870219,0.04873004694835681,0.02343684210526316,0.9119625621526762
459,459,…tienne Capoue,FRA,Villarreal,La Liga,1988,30,MF,0.025352743561030233,0.01998,0.07914500381388252,0.042017840375586854,0.030673684210526315,0.6694940040947646
463,463,Maxence Caqueret,FRA,Lyon,Ligue 1,2000,31,MF,0.04434490481522956,0.0,0.10193032036613273,0.002,0.0,0.6826557472945306
475,475,William Carvalho,POR,Betis,La Liga,1992,33,MF,0.03964849260481959,0.011700000000000002,0.09075732810286585,0.0461056338028169,0.011868421052631578,0.5276396607195086
477,477,Casemiro,BRA,Real Madrid,La Liga,1992,32,MF,0.01782712765957447,0.0,0.11295184700882642,0.02635117370892019,0.032773684210526316,0.7510968119333139
480,480,Moreto Cassam„,GNB,Reims,Ligue 1,1998,17,MF,0.12534314509678451,0.00801,0.07268380734444807,0.07405,0.16210526315789472,0.233986545773618
486,486,Gonzalo Castro,GER,Arminia,Bundesliga,1987,12,MFFW,0.00525,0.035975,0.02195217391304348,0.053833333333333344,0.16103684210526314,0.1272301842644048
488,488,Gaetano Castrovilli,ITA,Fiorentina,Serie A,1997,23,MF,0.01263157894736842,0.026640000000000004,0.06312112346082599,0.02315,0.04601052631578948,0.4065516232816613
489,489,Danilo Cataldi,ITA,Lazio,Serie A,1994,32,MF,0.0072499999999999995,0.049185000000000006,0.10344576659038902,0.02981666666666667,0.04014210526315789,0.4989763088622404
493,493,Dani Ceballos,ESP,Real Madrid,La Liga,1996,11,MF,0.046167553191489366,0.0,0.13664462787403292,0.1402260563380282,0.0,0.08043287510968118
500,500,Franco Cervi,ARG,Celta Vigo,La Liga,1994,33,MF,0.010877659574468084,0.0632,0.055112836438923396,0.06918779342723005,0.019236842105263156,0.5264697279906406
512,512,Dylan Chambost,FRA,Troyes,Ligue 1,1997,19,MFFW,0.003,0.00747,0.1350756728778468,0.0042,0.0036,0.21994735302720092
517,517,Xavier Chavalerin,FRA,Troyes,Ligue 1,1991,34,MFFW,0.027428331466965286,0.0041400000000000005,0.050919668737060046,0.08344788732394366,0.12736315789473684,0.7943843229014332
521,521,Denis Cheryshev,RUS,Valencia,La Liga,1990,17,MF,0.0670212765957447,0.022770000000000002,0.0167,0.00945,0.0048,0.16437554840596666
524,524,Federico Chiesa,ITA,Juventus,Serie A,1997,14,MFFW,0.21363229156062305,0.032265,0.0063,0.04935446009389671,0.16103684210526314,0.2521205030710734
528,528,Pedro Chirivella,ESP,Nantes,Ligue 1,1997,31,MF,0.009690789473684212,0.05775500000000001,0.09819366350659257,0.04966666666666667,0.00826842105263158,0.7709856683240714
529,529,Joris Chotard,FRA,Montpellier,Ligue 1,2001,36,MF,0.026195590523698027,0.014355000000000001,0.048252070393374744,0.018466666666666666,0.02300526315789474,0.8581456566247441
532,532,Max Christiansen,GER,Greuther F¸rth,Bundesliga,1996,27,MF,0.0032500000000000003,0.005940000000000001,0.04514078674948241,0.0006,0.0,0.6004679730915473
533,533,Carney Chukwuemeka,ENG,Aston Villa,Premier League,2004,12,MFFW,0.0,0.034245,0.06469024735752424,0.0045,0.009,0.08774495466510675
534,534,Samuel Chukwueze,NGA,Villarreal,La Liga,1999,27,MF,0.2329665071770335,0.031365000000000004,0.05279437179906288,0.08914577464788734,0.020736842105263158,0.38958759871307397
538,538,PathÈ Ciss,SEN,Rayo Vallecano,La Liga,1994,31,MF,0.026092105263157896,0.00882,0.047013146997929606,0.014483333333333334,0.12029473684210526,0.32056156770985667
545,545,Tom Cleverley,ENG,Watford,Premier League,1989,28,MF,0.012132978723404256,0.01107,0.023430434782608693,0.007050000000000001,0.0033,0.47236033928049137
551,551,¡lex Collado,ESP,Granada,La Liga,1999,17,MFFW,0.10240761478163493,0.03627,0.039454462242562924,0.05425,0.13533157894736844,0.2980403626791459
557,557,Santi ComesaÒa,ESP,Rayo Vallecano,La Liga,1996,35,MF,0.02961664315527697,0.026000000000000002,0.08804778249972758,0.024513380281690138,0.02420526315789474,0.7841474115238374
567,567,Francis Coquelin,FRA,Villarreal,La Liga,1991,20,MF,0.0,0.0,0.11696131633431406,0.018833333333333334,0.16540526315789472,0.24246855805791165
570,570,Jack Cork,ENG,Burnley,Premier League,1989,20,MF,0.007375,0.019125000000000003,0.008950000000000001,0.04741666666666667,0.03684210526315789,0.48815443112021056
578,578,David Pereira da Costa,POR,Lens,Ligue 1,2001,33,MFFW,0.10140573871816874,0.026820000000000004,0.0710158766481421,0.05065,0.14193157894736844,0.4279028955835039
579,579,HÈlder Costa,ANG,Valencia,La Liga,1994,22,MFFW,0.08456886898096305,0.01161,0.010450000000000001,0.0024,0.0024,0.32670371453641417
585,585,Lassana Coulibaly,MLI,Salernitana,Serie A,1996,31,MF,0.012765957446808508,0.0153,0.04007939958592133,0.006450000000000001,0.0,0.6817782977478796
586,586,Mamadou Coulibaly,SEN,Salernitana,Serie A,1999,12,MF,0.07771716525355944,0.026010000000000005,0.08715976353928301,0.015466666666666667,0.16210526315789472,0.23603392804913717
589,589,Philippe Coutinho,BRA,Aston Villa,Premier League,1992,19,MFFW,0.10045912653975364,0.03339,0.07182909447531872,0.07144788732394367,0.2565263157894737,0.3884176659842059
590,590,Philippe Coutinho,BRA,Barcelona,La Liga,1992,12,MFFW,0.11342665173572228,0.035739999999999994,0.09356347390214667,0.013333333333333334,0.26526315789473687,0.1468265574729453
596,596,Bryan Cristante,ITA,Roma,Serie A,1995,34,MF,0.00625,0.0,0.09816664487305221,0.03438004694835681,0.051578947368421044,0.7829774787949694
607,607,MickaÎl Cuisance,FRA,Venezia,Serie A,1999,13,MF,0.030851063829787237,0.03834,0.05315693581780539,0.005500000000000001,0.0,0.26820707809300964
613,613,Wylan Cyprien,FRA,Nantes,Ligue 1,1995,24,MF,0.046413493840985434,0.00486,0.08092609785332898,0.05758685446009389,0.09382105263157896,0.4355074583211465
623,623,Mahmoud Dahoud,GER,Dortmund,Bundesliga,1996,22,MF,0.0479575631535318,0.008280000000000001,0.12059959136972867,0.0333,0.08585263157894736,0.4846446329336063
627,627,Mikkel Damsgaard,DEN,Sampdoria,Serie A,2000,11,MFFW,0.0,0.00846,0.09688881987577638,0.00785,0.0,0.168762796139222
634,634,Sergi Darder,ESP,Espanyol,La Liga,1993,36,MF,0.015890257558790595,0.029340000000000005,0.06978259779884494,0.04364671361502347,0.07411578947368422,0.9137174612459784
635,635,VladimÌr Darida,CZE,Hertha BSC,Bundesliga,1990,25,MF,0.012252659574468087,0.00909,0.0728919799498747,0.036416666666666674,0.01486842105263158,0.5220824802573852
646,646,Kevin De Bruyne,BEL,Manchester City,Premier League,1991,30,MF,0.07293730821250419,0.024255,0.08743814972213142,0.06733333333333334,0.4593736842105263,0.6434630008774496
650,650,Rodrigo De Paul,ARG,AtlÈtico Madrid,La Liga,1994,36,MF,0.0222508398656215,0.00864,0.08030252805927862,0.04983333333333335,0.09698947368421054,0.6288388417665984
656,656,Alessandro Deiola,ITA,Cagliari,Serie A,1995,33,MF,0.004750000000000001,0.00459,0.043918530020703936,0.07438450704225354,0.12646315789473686,0.622404211757824
657,657,Romain Del Castillo,FRA,Brest,Ligue 1,1996,19,MFFW,0.07936170212765957,0.0,0.05832348261959246,0.008,0.016800000000000002,0.2848786194793799
661,661,Thomas Delaney,DEN,Sevilla,La Liga,1991,26,MF,0.005125000000000001,0.009135,0.07620673422687152,0.06787676056338028,0.09022105263157895,0.45276396607195085
663,663,Sacha Delaye,FRA,Montpellier,Ligue 1,2002,11,MFFW,0.20829647983595354,0.012374999999999997,0.027228260869565216,0.0068000000000000005,0.0102,0.07633811055864287
667,667,Fabian Delph,ENG,Everton,Premier League,1989,11,MF,0.010125000000000002,0.007290000000000001,0.0464131469979296,0.0,0.0,0.19333138344545187
672,672,Kerem Demirbay,GER,Leverkusen,Bundesliga,1993,29,MF,0.06210177280725993,0.008280000000000001,0.07810718099596818,0.009,0.034873684210526314,0.5990055571804621
674,674,Diego Demme,GER,Napoli,Serie A,1991,19,MF,0.004875000000000001,0.03619000000000001,0.12215966546801788,0.02121666666666667,0.09578947368421054,0.20210587891196255
676,676,Leander Dendoncker,BEL,Wolves,Premier League,1995,30,MF,0.009319148936170214,0.01575,0.05827415277323744,0.05550563380281691,0.06901578947368421,0.5700497221409769
686,686,Kiernan Dewsbury Hall,ENG,Leicester City,Premier League,1998,28,MF,0.04004479283314669,0.027630000000000005,0.07257773782281791,0.02121666666666667,0.03337368421052631,0.6153846153846154
693,693,Francesco Di Tacchio,ITA,Salernitana,Serie A,1990,18,MF,0.011946808510638297,0.02655,0.05690265882096546,0.0024500000000000004,0.0,0.36677391050014624
701,701,Ibrahima Diallo,FRA,Southampton,Premier League,1999,23,MF,0.04746920492721165,0.042859999999999995,0.054385627111256406,0.0052499999999999995,0.005399999999999999,0.298917812225797
708,708,Brahim DÌaz,ESP,Milan,Serie A,1999,31,MF,0.06648376259798432,0.02493,0.0519288983327885,0.014204460093896715,0.11502631578947368,0.5422638198303598
721,721,JavairÙ Dilrosun,NED,Bordeaux,Ligue 1,1998,32,MFFW,0.1276008202323992,0.038385,0.014652173913043479,0.04627230046948357,0.01666842105263158,0.506288388417666
726,726,Tristan DingomÈ,CMR,Troyes,Ligue 1,1991,25,MFFW,0.07546894315091403,0.047744999999999996,0.0630433039119538,0.009883333333333334,0.13516315789473685,0.31471190406551625
729,729,Sofiane Diop,FRA,Monaco,Ligue 1,2000,30,MFFW,0.05374020156774916,0.0351,0.06453060913152447,0.08113896713615024,0.21201578947368419,0.5694647557765429
737,737,Moussa Djenepo,MLI,Southampton,Premier League,1998,12,MF,0.08423292273236282,0.00882,0.030405175983436856,0.007000000000000001,0.0,0.13337233109096225
750,750,Brandon Domingues,FRA,Troyes,Ligue 1,2000,11,MFFW,0.004750000000000001,0.024210000000000002,0.058464737931785984,0.09488333333333335,0.27999999999999997,0.06727113190991517
753,753,Nicol·s DomÌnguez,ARG,Bologna,Serie A,1998,28,MF,0.011505319148936169,0.0,0.0707028549634957,0.0081,0.0039000000000000003,0.5890611289850834
758,758,Niklas Dorsch,GER,Augsburg,Bundesliga,1998,30,MF,0.0,0.0076500000000000005,0.04823364389233954,0.028066666666666667,0.029473684210526315,0.6794384322901433
761,761,Lucas Douath,FRA,Saint-…tienne,Ligue 1,2003,31,MF,0.014605263157894737,0.005849999999999999,0.0649233409610984,0.02816666666666667,0.03684210526315789,0.5273471775372917
763,763,Abdoulaye DoucourÈ,MLI,Everton,Premier League,1993,30,MF,0.03919625768967874,0.008280000000000001,0.054760041407867485,0.04073450704225352,0.055778947368421046,0.7417373501023692
764,764,Cheick DoucourÈ,MLI,Lens,Ligue 1,2000,34,MF,0.023381578947368423,0.014760000000000002,0.0876658167157023,0.03802676056338029,0.025705263157894738,0.8613629716291313
782,782,Ondrej Duda,SVK,Kˆln,Bundesliga,1994,31,MF,0.14127136021872863,0.017595,0.05307762885474557,0.03266666666666666,0.08105263157894736,0.4708979233694062
783,783,Jeremy Dudziak,TUN,Greuther F¸rth,Bundesliga,1995,22,MFFW,0.07336367999301929,0.00927,0.0103,0.05133333333333334,0.11789473684210526,0.3313834454518865
788,788,Alfred Duncan,GHA,Fiorentina,Serie A,1993,33,MF,0.027100783874580068,0.0144,0.06264145145472377,0.0631,0.06901578947368421,0.5644925416788535
798,798,…derson,BRA,Salernitana,Serie A,1999,15,MF,0.04148936170212766,0.011025,0.041855175983436854,0.04105,0.12029473684210526,0.3351857268207078
