,Id,Name,Nation,Team,League,Born,Mac,Pos,Blok,Baskı,Pas,Gole_katkı,Dakika
62,62,Trent Alexander-Arnold,ENG,Liverpool,Premier League,1998,32,DF,0.015911864406779663,0.07318,0.14251980821619267,0.05561052631578948,0.8341620356829482
71,71,Marcos Alonso,ESP,Chelsea,Premier League,1990,28,DF,0.005,0.06474,0.09304547019723221,0.13036315789473685,0.6335185726820708
72,72,Giorgio Altare,ITA,Cagliari,Serie A,1998,19,DF,0.008600000000000002,0.06924000000000001,0.07670455486542443,0.04421052631578948,0.428487861947938
74,74,Yeray ¡lvarez,ESP,Athletic Club,La Liga,1995,22,DF,0.0445864406779661,0.10058,0.06711378881987579,0.0,0.5437262357414449
75,75,Dani Alves,BRA,Barcelona,La Liga,1983,14,DF,0.005,0.05795999999999999,0.13234272202244743,0.06644736842105263,0.3208540508920737
79,79,Daniel Amartey,GHA,Leicester City,Premier League,1994,28,DF,0.01694915254237288,0.08018,0.10667276451999563,0.0,0.6206493126645218
84,84,Kelvin Amian,FRA,Spezia,Serie A,1998,32,DF,0.015600000000000003,0.069,0.0413368115942029,0.02300526315789474,0.7736180169640247
87,87,Ethan Ampadu,WAL,Venezia,Serie A,2000,29,MFDF,0.0166,0.05328,0.07102923395445135,0.0036,0.6671541386370284
89,89,Joachim Andersen,DEN,Crystal Palace,Premier League,1996,34,DF,0.02075,0.09714,0.16312661872071485,0.0026999999999999997,0.8525884761626207
93,93,AndrÈs Andrade CedeÒo,PAN,Arminia,Bundesliga,1998,17,DF,0.017200000000000003,0.06192,0.061023105590062104,0.0,0.3056449254167885
97,97,JosÈ ¡ngel,ESP,Osasuna,La Liga,1989,23,DF,0.0016,0.13228,0.1225139980385747,0.06134736842105263,0.31646680315881837
98,98,AngeliÒo,ESP,RB Leipzig,Bundesliga,1997,29,DF,0.0032,0.08636,0.11775818241255312,0.06494736842105263,0.6718338695525008
100,100,Cristian Ansaldi,ARG,Torino,Serie A,1986,19,DF,0.0026,0.09431999999999999,0.08738735534488395,0.011700000000000002,0.20181339572974552
102,102,Waldemar Anton,GER,Stuttgart,Bundesliga,1996,29,DF,0.025311864406779662,0.07316,0.1093505786204642,0.05247894736842104,0.7587013746709564
108,108,Dennis Appiah,FRA,Nantes,Ligue 1,1992,32,DF,0.011200000000000002,0.0546,0.0672176397515528,0.0,0.6136297162913132
112,112,NÈstor Araujo,MEX,Celta Vigo,La Liga,1991,34,DF,0.02866186440677966,0.09548999999999999,0.08093935926773457,0.0,0.765136004679731
113,113,Ronald Ara˙jo,URU,Barcelona,La Liga,1999,30,DF,0.03354915254237288,0.09204000000000001,0.10794559006211181,0.11789473684210526,0.6642293068148581
118,118,Santiago Arias,COL,Granada,La Liga,1992,12,DF,0.0,0.04800000000000001,0.06977403726708076,0.014736842105263158,0.1284001169932729
126,126,Santiago Arzamendia,PAR,C·diz,La Liga,1998,14,MFDF,0.0,0.05256,0.035624927536231886,0.13999999999999999,0.13688212927756652
137,137,Lorenz Assignon,TOG,Rennes,Ligue 1,2000,20,DF,0.0088,0.039959999999999996,0.08360506265664161,0.0087,0.17987715706346885
138,138,Simon Asta,GER,Greuther F¸rth,Bundesliga,2001,13,DF,0.0068000000000000005,0.09144,0.0656927950310559,0.0,0.2287218484937116
139,139,Youcef Atal,ALG,Nice,Ligue 1,1996,17,DF,0.0032,0.054959999999999995,0.10116263484798954,0.12029473684210526,0.33313834454518865
143,143,Tommaso Augello,ITA,Sampdoria,Serie A,1994,36,DF,0.0038000000000000004,0.07752,0.09294281573498964,0.030673684210526315,0.7002047382275519
145,145,Ludwig Augustinsson,SWE,Sevilla,La Liga,1994,19,DF,0.009000000000000001,0.06844,0.1017535294758636,0.0033,0.23164668031588181
146,146,Serge Aurier,CIV,Villarreal,La Liga,1992,19,DF,0.050735593220338986,0.08267999999999999,0.11251903454287895,0.0026999999999999997,0.2951155308569757
151,151,Kaan Ayhan,TUR,Sassuolo,Serie A,1994,23,DF,0.055761016949152545,0.06680000000000001,0.10146142312302496,0.051578947368421044,0.3957297455396315
152,152,Luke Ayling,ENG,Leeds United,Premier League,1991,26,DF,0.010375,0.0582,0.10937660237550398,0.06134736842105263,0.6642293068148581
155,155,CÈsar Azpilicueta,ESP,Chelsea,Premier League,1989,27,DF,0.0096,0.07200000000000001,0.13365344883949004,0.03217368421052631,0.6051477040070197
159,159,LoÔc Bade,FRA,Rennes,Ligue 1,2000,14,DF,0.029900000000000003,0.06590000000000001,0.11135513784461151,0.0026999999999999997,0.28780345130155016
162,162,BenoÓt Badiashile,FRA,Monaco,Ligue 1,2001,24,DF,0.0466114406779661,0.062400000000000004,0.13502593004249755,0.03684210526315789,0.5372916057326704
176,176,Mitchel Bakker,NED,Leverkusen,Bundesliga,2000,25,DF,0.0020000000000000005,0.06815999999999998,0.1014580189604446,0.006000000000000001,0.5326118748171981
177,177,Ridle Baku,GER,Wolfsburg,Bundesliga,1998,34,DFFW,0.0008,0.043320000000000004,0.09115383458646616,0.08645263157894736,0.7151213805206201
184,184,Mikel Balenziaga,ESP,Athletic Club,La Liga,1988,26,DF,0.0036,0.11782000000000001,0.06282824016563147,0.0,0.5925709271716877
185,185,Leonardo Balerdi,ARG,Marseille,Ligue 1,1999,17,DF,0.009399999999999999,0.058859999999999996,0.14970003922850605,0.0,0.27756653992395436
186,186,Iv·n Balliu,ALB,Rayo Vallecano,La Liga,1992,35,DF,0.004000000000000001,0.07727,0.08609892339544514,0.02390526315789474,0.9201520912547528
193,193,Mattia Bani,ITA,Genoa,Serie A,1993,17,DF,0.0148,0.10253999999999999,0.047723643892339546,0.0,0.3539046504825972
201,201,Melvin Bard,FRA,Nice,Ligue 1,2000,33,DF,0.006999999999999999,0.06888,0.1182339479132614,0.05367894736842104,0.7569464755776543
211,211,Antonio Barrag·n,ESP,Elche,La Liga,1987,16,DF,0.0036,0.11116,0.06735175983436853,0.0,0.2980403626791459
214,214,Jacob Barrett Laursen,DEN,Arminia,Bundesliga,1994,24,DF,0.01,0.07360000000000001,0.05551403726708075,0.08105263157894736,0.47704007019596373
217,217,Marc Bartra,ESP,Betis,La Liga,1991,23,DF,0.019,0.07836000000000001,0.0856565108423232,0.03684210526315789,0.5826264989763089
224,224,Alessandro Bastoni,ITA,Inter,Serie A,1999,31,DF,0.024325,0.06924000000000001,0.12113720387926338,0.03187368421052632,0.675636150921322
225,225,Simone Bastoni,ITA,Spezia,Serie A,1996,31,MFDF,0.008600000000000002,0.053520000000000005,0.07815544731393702,0.09202105263157896,0.6689090377303305
228,228,Maximilian Bauer,GER,Greuther F¸rth,Bundesliga,2000,26,DF,0.026625000000000003,0.06,0.07386224256292906,0.0,0.49400409476455104
230,230,Timo Baumgartl,GER,Union Berlin,Bundesliga,1996,25,DF,0.01,0.08075999999999998,0.08507292361338127,0.03187368421052632,0.6332260894998538
239,239,Rodrigo Bec„o,BRA,Udinese,Serie A,1996,35,DF,0.036436864406779665,0.06312000000000001,0.05607225672877847,0.045110526315789476,0.9151798771570635
240,240,Mads Bech S¯rensen,DEN,Brentford,Premier League,1999,11,DF,0.018375000000000002,0.12426000000000001,0.09559351422033345,0.0,0.24393097396899677
242,242,Jan Bednarek,POL,Southampton,Premier League,1996,31,DF,0.012711864406779662,0.08522,0.07711308924485126,0.10315789473684209,0.7686458028663352
252,252,Stefan Bell,GER,Mainz 05,Bundesliga,1991,33,DF,0.019375000000000003,0.04692,0.08237221532091099,0.04421052631578948,0.8373793506873355
253,253,Armel Bella Kotchap,GER,Bochum,Bundesliga,2001,22,DF,0.029436440677966098,0.08392000000000001,0.04924633540372671,0.0,0.5168177829774788
254,254,Raoul Bellanova,ITA,Cagliari,Serie A,2000,31,DF,0.005,0.02252,0.029750434782608696,0.031573684210526316,0.7297455396314713
257,257,HÈctor BellerÌn,ESP,Betis,La Liga,1995,23,DF,0.0018,0.10643999999999999,0.08137037811921106,0.0026999999999999997,0.5785317344252706
279,279,Ramy Bensebaini,ALG,M'Gladbach,Bundesliga,1995,23,DF,0.0098,0.06,0.10092664487305221,0.13383157894736844,0.5905235448961685
287,287,Yuri Berchiche,ESP,Athletic Club,La Liga,1990,14,DF,0.0124,0.06,0.09886425629290618,0.07171578947368422,0.2965779467680608
289,289,Bartosz Bereszy?ski,POL,Sampdoria,Serie A,1992,35,DF,0.008000000000000002,0.05016,0.09355921978860193,0.0026999999999999997,0.8613629716291313
299,299,Juan Bernat,ESP,Paris S-G,Ligue 1,1993,15,DF,0.0,0.08138000000000001,0.10691751770731175,0.0,0.27990640538169054
306,306,Louis Beyer,GER,M'Gladbach,Bundesliga,2000,17,DF,0.009000000000000001,0.05064,0.10055114307507901,0.0,0.40450424100614213
308,308,Giulian Biancone,FRA,Troyes,Ligue 1,2000,33,DF,0.0062,0.0702,0.09596519341832843,0.03187368421052632,0.6700789704591986
311,311,Pedro Bigas,ESP,Elche,La Liga,1990,19,DF,0.022700000000000005,0.044160000000000005,0.09685352511714068,0.04421052631578948,0.4533489324363849
313,313,Jean-Claude Billong,CMR,Clermont Foot,Ligue 1,1993,15,DF,0.026525,0.07632,0.07677092078021139,0.0,0.286341035390465
314,314,Luis Binks,ENG,Bologna,Serie A,2001,15,DF,0.025925000000000004,0.13672,0.07345221532091098,0.0,0.1886516525299795
315,315,Cristiano Biraghi,ITA,Fiorentina,Serie A,1992,37,DF,0.0058,0.07026,0.12944051868802442,0.08195263157894736,0.921906990348055
316,316,Davide Biraschi,ITA,Genoa,Serie A,1994,14,DF,0.0194,0.06624000000000001,0.07622994660564456,0.0,0.2717168762796139
326,326,JÈrÙme Boateng,GER,Lyon,Ligue 1,1988,24,DF,0.04579872881355933,0.08452,0.11020605426610001,0.0018,0.4741152383737935
329,329,Herbert Bockhorn,GER,Bochum,Bundesliga,1995,18,DF,0.0022,0.054000000000000006,0.035653913043478265,0.0,0.2483182217022521
341,341,Kevin Bonifazi,ITA,Bologna,Serie A,1996,22,DF,0.012,0.06948,0.08644191565871201,0.0,0.3536121673003802
343,343,Leonardo Bonucci,ITA,Juventus,Serie A,1987,24,DF,0.027625000000000004,0.11823999999999998,0.10479150049035632,0.16210526315789472,0.5861362971629132
344,344,Sebastiaan Bornauw,BEL,Wolfsburg,Bundesliga,1999,27,DF,0.008000000000000002,0.10274000000000001,0.08556837310667975,0.029473684210526315,0.5867212635273472
346,346,Sven Botman,NED,Lille,Ligue 1,2000,25,DF,0.0176,0.10288000000000001,0.10324238422142312,0.08962105263157896,0.6577946768060837
359,359,Dedryck Boyata,BEL,Hertha BSC,Bundesliga,1990,23,DF,0.0237,0.10643,0.05537830227743271,0.0,0.5548405966656917
361,361,Domagoj Bradari?,CRO,Lille,Ligue 1,1999,15,DFMF,0.008600000000000002,0.0546,0.09130759507464313,0.0,0.12167300380228135
368,368,Lilian Brassier,FRA,Brest,Ligue 1,1999,31,DF,0.06399830508474576,0.06024,0.08888672115070284,0.029473684210526315,0.6615969581749049
374,374,Gleison Bremer,BRA,Torino,Serie A,1997,33,DF,0.016800000000000002,0.08898,0.059682484472049685,0.06721578947368421,0.8449839134249781
379,379,Dylan Bronn,TUN,Metz,Ligue 1,1995,30,DF,0.04446101694915254,0.072,0.057205093167701865,0.031573684210526316,0.7440772155601053
380,380,John Brooks,USA,Wolfsburg,Bundesliga,1993,31,DF,0.0144,0.097,0.10256369401765285,0.02300526315789474,0.7645510383152969
381,381,Daniel Brosinski,GER,Mainz 05,Bundesliga,1988,11,DF,0.0,0.15227,0.09237537103628636,0.0,0.11377595788242176
384,384,CÈdric Brunner,SUI,Arminia,Bundesliga,1994,27,DF,0.009000000000000001,0.051,0.07662169772256729,0.0012,0.6381983035975431
393,393,Alessandro Buongiorno,ITA,Torino,Serie A,1999,23,DF,0.019225,0.10742,0.056869896480331264,0.0024,0.34513015501608657
398,398,Dan Burn,ENG,Brighton,Premier League,1992,13,DF,0.0192,0.039959999999999996,0.08714033780102431,0.06631578947368422,0.29862532904357997
399,399,Dan Burn,ENG,Newcastle Utd,Premier League,1992,16,DF,0.02,0.11454,0.056922406015037584,0.0018,0.4208832992102954
400,400,Maxime Busi,BEL,Reims,Ligue 1,1999,18,DF,0.038061016949152544,0.06994,0.07939497003378013,0.051578947368421044,0.37876572097104416
408,408,Sam Byram,ENG,Norwich City,Premier League,1993,15,DF,0.0192,0.06456,0.05539320910973085,0.0,0.3000877449546651
412,412,Jimmy Cabot,FRA,Angers,Ligue 1,1994,24,DF,0.0008,0.088,0.1010602637027351,0.0066,0.5870137467095642
414,414,Leandro Cabrera,URU,Espanyol,La Liga,1991,37,DF,0.03286186440677966,0.08954000000000001,0.08779481311975591,0.03684210526315789,0.973676513600468
416,416,MartÌn C·ceres,URU,Cagliari,Serie A,1987,14,DF,0.0108,0.06068,0.08185230249536886,0.08435263157894736,0.2430535244223457
418,418,Anthony Caci,FRA,Strasbourg,Ligue 1,1997,37,DF,0.0038000000000000004,0.06624000000000001,0.10355274272638118,0.032773684210526316,0.7002047382275519
426,426,Cala,ESP,C·diz,La Liga,1989,14,DF,0.025950000000000004,0.08764,0.013559420289855075,0.0,0.27668909037730327
427,427,Davide Calabria,ITA,Milan,Serie A,1996,26,DF,0.0052,0.05604,0.09572150158003703,0.06901578947368421,0.6194793799356537
430,430,Mattia Caldara,ITA,Venezia,Serie A,1994,31,DF,0.0,0.05555999999999999,0.05424198757763975,0.02210526315789474,0.7905820415326119
432,432,Fernando Calero,ESP,Espanyol,La Liga,1995,16,DF,0.02175,0.06756,0.08704466819221968,0.0,0.3185141854343375
433,433,Duje ?aleta-Car,CRO,Marseille,Ligue 1,1996,26,DF,0.02885,0.11271999999999999,0.13294990519777705,0.06631578947368422,0.6013454226381983
435,435,Daniel Caligiuri,ITA,Augsburg,Bundesliga,1988,28,DFMF,0.0044,0.01386,0.036965217391304345,0.13533157894736844,0.5858438139806962
439,439,Mahdi Camara,FRA,Saint-…tienne,Ligue 1,1998,35,MFDF,0.0064,0.06264000000000002,0.07876384221423123,0.06631578947368422,0.8985083357706932
444,444,Andrea Cambiaso,ITA,Genoa,Serie A,2000,26,DF,0.009000000000000001,0.05664,0.08520963713631906,0.04284210526315789,0.5232524129862534
447,447,Emre Can,GER,Dortmund,Bundesliga,1994,24,DFMF,0.0118,0.05148,0.12594347172278522,0.20044736842105265,0.49400409476455104
449,449,Matteo Cancellieri,ITA,Hellas Verona,Serie A,2002,12,MFDF,0.0,0.0748,0.039678426501035195,0.029473684210526315,0.06610119918104708
450,450,Jo„o Cancelo,POR,Manchester City,Premier League,1994,36,DF,0.014911864406779662,0.06268,0.1422186945624932,0.02780526315789474,0.9435507458321147
451,451,Fali CandÈ,GNB,Metz,Ligue 1,1998,11,DF,0.0038000000000000004,0.04872,0.08134004358722896,0.0057,0.28429365311494587
453,453,Sergi CanÛs,ESP,Brentford,Premier League,1997,31,DF,0.0026,0.06686,0.03448434782608696,0.09848947368421053,0.6089499853758409
457,457,Pierrick Capelle,FRA,Angers,Ligue 1,1987,30,MFDF,0.0016,0.04308,0.07295447531873162,0.0024,0.3486399532026908
464,464,Andrea Carboni,ITA,Cagliari,Serie A,2001,30,DF,0.012199999999999999,0.04308,0.06154873706004141,0.0,0.6475577654284879
465,465,Isaac Carcelen,ESP,C·diz,La Liga,1993,25,DFMF,0.006999999999999999,0.057,0.06855672877846791,0.0018,0.45130155016086576
468,468,Igor Carioca,BRA,Lorient,Ligue 1,1996,28,DF,0.0012,0.05804,0.06612335403726709,0.0,0.4612459783562445
470,470,Diego Carlos,BRA,Sevilla,La Liga,1993,34,DF,0.008375,0.10130000000000002,0.11142621771820857,0.06631578947368422,0.8645802866335186
472,472,Yannick Carrasco,BEL,AtlÈtico Madrid,La Liga,1993,34,DFMF,0.023575000000000002,0.0828,0.06910087610330173,0.16103684210526314,0.7551915764843522
474,474,Dani Carvajal,ESP,Real Madrid,La Liga,1992,24,DF,0.0104,0.058620000000000005,0.10676679742835349,0.04931052631578948,0.4533489324363849
476,476,NicolÚ Casale,ITA,Hellas Verona,Serie A,1998,36,DF,0.0098,0.0702,0.060960372670807464,0.0009,0.7560690260310032
478,478,Matty Cash,POL,Aston Villa,Premier League,1997,38,DF,0.0102,0.06648000000000001,0.06335871635610767,0.08345263157894736,0.987423223164668
482,482,Timothy Castagne,BEL,Leicester City,Premier League,1995,27,DF,0.0068000000000000005,0.06276,0.09480536776724421,0.029473684210526315,0.62181924539339
484,484,Jean-Charles Castelletto,CMR,Nantes,Ligue 1,1995,28,DF,0.058161016949152544,0.06192,0.062427991718426494,0.029473684210526315,0.7338403041825096
487,487,Jonny Castro,ESP,Wolves,Premier League,1994,13,DF,0.0052,0.06,0.09571804075405907,0.13263157894736843,0.299210295408014
490,490,Catena,ESP,Rayo Vallecano,La Liga,1994,36,DF,0.04842372881355932,0.10525999999999999,0.08324290726817044,0.04601052631578948,0.947353027200936
491,491,Craig Cathcart,NIR,Watford,Premier League,1989,31,DF,0.010750000000000003,0.08256000000000001,0.04597242236024844,0.0012,0.700497221409769
494,494,Pietro Ceccaroni,ITA,Venezia,Serie A,1995,35,DF,0.024961864406779662,0.11554,0.08568431949438815,0.045110526315789476,0.9128400116993273
495,495,Federico Ceccherini,ITA,Hellas Verona,Serie A,1992,34,DF,0.018075,0.07664,0.08132587119973848,0.029473684210526315,0.6893828604855221
497,497,Zeki «elik,TUR,Lille,Ligue 1,1997,32,DF,0.036,0.06852,0.09911049144600631,0.054578947368421046,0.7882421760748757
498,498,Fabien Centonze,FRA,Metz,Ligue 1,1996,19,DF,0.008000000000000002,0.06,0.08406735970360683,0.1712736842105263,0.46358584381398066
499,499,Luca Ceppitelli,ITA,Cagliari,Serie A,1989,24,DF,0.032174999999999995,0.07838,0.08063552795031056,0.04601052631578948,0.4223457151213805
503,503,Julian Chabot,GER,Sampdoria,Serie A,1998,11,DF,0.09530847457627117,0.07632,0.0762653677672442,0.0,0.143024276104124
509,509,Trevoh Chalobah,ENG,Chelsea,Premier League,1999,20,DF,0.045123728813559326,0.09390000000000001,0.12728756674294434,0.14179999999999998,0.4235156478502486
510,510,Calum Chambers,ENG,Aston Villa,Premier League,1995,11,DF,0.0,0.09480000000000002,0.08838915113871636,0.08105263157894736,0.24276104124012868
513,513,Timothy Chandler,USA,Eint Frankfurt,Bundesliga,1990,17,DF,0.0044,0.08394,0.047468985507246375,0.0,0.35419713366481426
515,515,Brendan Chardonnet,FRA,Brest,Ligue 1,1994,32,DF,0.021961864406779663,0.0702,0.06368293995859214,0.007368421052631579,0.7853173442527055
523,523,Giorgio Chiellini,ITA,Juventus,Serie A,1984,21,DF,0.010000000000000002,0.10010000000000002,0.10736740982892012,0.0,0.3957297455396315
527,527,Vlad Chiriche?,ROU,Sassuolo,Serie A,1989,29,DF,0.027250000000000003,0.11432,0.08439591587664813,0.0,0.6724188359169349
531,531,Andreas Christensen,DEN,Chelsea,Premier League,1996,19,DF,0.0108,0.11592000000000001,0.129705829791871,0.0,0.43726235741444863
535,535,VÌctor Chust,ESP,C·diz,La Liga,2000,25,DF,0.023175,0.09186,0.05085573498964804,0.0,0.5349517402749342
541,541,Ciaran Clark,IRL,Newcastle Utd,Premier League,1989,13,DF,0.021975,0.0832,0.015119130434782607,0.0026999999999999997,0.2962854635858438
543,543,Jonathan Clauss,FRA,Lens,Ligue 1,1992,37,DF,0.0006,0.07052,0.08885699030184156,0.12042631578947369,0.8906112898508336
544,544,Carlos Clerc,ESP,Levante,La Liga,1992,19,DF,0.0024,0.043680000000000004,0.09259557153753949,0.0,0.44252705469435505
546,546,Nathaniel Clyne,ENG,Crystal Palace,Premier League,1991,16,DF,0.019275,0.09250000000000001,0.06566513457556936,0.0021000000000000003,0.3948522959929804
547,547,Conor Coady,ENG,Wolves,Premier League,1993,38,DF,0.03864830508474576,0.08611,0.07504085430968727,0.08105263157894736,0.9827434922491957
550,550,SÈamus Coleman,IRL,Everton,Premier League,1988,30,DF,0.0388,0.07404,0.06643896480331263,0.02210526315789474,0.7765428487861948
553,553,Omar Colley,GAM,Sampdoria,Serie A,1992,32,DF,0.038336864406779664,0.06972000000000002,0.07206135338345865,0.0,0.8025738520035098
554,554,Nathan Collins,IRL,Burnley,Premier League,2001,19,DF,0.021186440677966097,0.04692,0.05915252261087502,0.08105263157894736,0.48815443112021056
561,561,Abdu ContÈ,POR,Troyes,Ligue 1,1998,17,DF,0.004000000000000001,0.09399999999999999,0.06329006211180124,0.0021000000000000003,0.3936823632641123
564,564,Liam Cooper,SCO,Leeds United,Premier League,1991,21,DF,0.026425000000000004,0.0863,0.08981875122589082,0.0015000000000000002,0.5302720093594618
568,568,SÈbastien Corchia,FRA,Nantes,Ligue 1,1990,28,DF,0.0028000000000000004,0.06168,0.05345739130434783,0.006000000000000001,0.38695525007312076
576,576,Thierry Correia,POR,Valencia,La Liga,1999,19,DF,0.0064,0.05148,0.07568648142094367,0.0018,0.4132787364726528
577,577,Danny da Costa,GER,Eint Frankfurt,Bundesliga,1993,11,DF,0.005,0.010360000000000001,0.04758811594202899,0.0,0.2117578239251243
581,581,Jaume Costa,ESP,Mallorca,La Liga,1988,25,DF,0.007800000000000001,0.07848000000000001,0.06817664596273292,0.006000000000000001,0.5343667739105001
583,583,VladimÌr Coufal,CZE,West Ham,Premier League,1992,28,DF,0.0074,0.07644000000000002,0.10079851585485454,0.0048,0.6458028663351858
587,587,Tanguy Coulibaly,FRA,Stuttgart,Bundesliga,2001,21,DFFW,0.005,0.06672,0.018949855072463766,0.0024,0.31529687042995025
591,591,Nicolas Cozza,FRA,Montpellier,Ligue 1,1999,34,DF,0.0124,0.04247999999999999,0.07811292361338128,0.04601052631578948,0.8098859315589354
593,593,Aaron Cresswell,ENG,West Ham,Premier League,1989,31,DF,0.011200000000000002,0.10101,0.11294694562493189,0.054578947368421046,0.7970166715413864
595,595,Domenico Criscito,ITA,Genoa,Serie A,1986,20,DF,0.0134,0.09445999999999999,0.09715756565326358,0.2449578947368421,0.4729453056449254
599,599,Domen ?rnigoj,SVN,Venezia,Serie A,1995,34,MFDF,0.0096,0.06824,0.03455217391304349,0.10465789473684209,0.5498683825680024
601,601,Juan Cruz Armada,ESP,Osasuna,La Liga,1992,23,DF,0.0195,0.10628000000000001,0.06253950310559006,0.0,0.5653699912255046
602,602,Juan Cuadrado,COL,Juventus,Serie A,1988,33,DFMF,0.0036,0.06852,0.1130502865860303,0.10645789473684208,0.727113190991518
604,604,Marc Cucurella,ESP,Brighton,Premier League,1998,35,DF,0.034223728813559326,0.07476,0.10645750245178164,0.02300526315789474,0.9031880666861656
606,606,Jorge Cuenca,ESP,Getafe,La Liga,1999,32,DF,0.024711864406779662,0.09918000000000002,0.057961826304892654,0.02210526315789474,0.7844398947060545
614,614,Rafael Czichos,GER,Kˆln,Bundesliga,1990,17,DF,0.0192,0.04996,0.1628392306854092,0.0018,0.40976893828604855
616,616,Danilo D'Ambrosio,ITA,Inter,Serie A,1988,20,DF,0.05613559322033899,0.04800000000000001,0.11014715048490793,0.06901578947368421,0.2921906990348055
619,619,Damien Da Silva,FRA,Lyon,Ligue 1,1988,17,DF,0.0264,0.10460000000000001,0.12256634194181106,0.0,0.32904357999415035
625,625,Stuart Dallas,NIR,Leeds United,Premier League,1991,34,DFMF,0.02251186440677966,0.05004,0.08177222839707966,0.02300526315789474,0.8534659257092717
626,626,Diogo Dalot,POR,Manchester Utd,Premier League,1999,24,DF,0.0755593220338983,0.07368000000000001,0.10083030837964477,0.0,0.5264697279906406
628,628,Flavius Daniliuc,AUT,Nice,Ligue 1,2001,24,DF,0.0126,0.06672,0.10023189495477824,0.0,0.3778882714243931
629,629,Danilo,BRA,Juventus,Serie A,1991,22,DFMF,0.022525000000000003,0.06852,0.140491411136537,0.039842105263157894,0.5533781807546067
630,630,Kevin Danso,AUT,Lens,Ligue 1,1998,33,DF,0.027025000000000004,0.07139999999999999,0.09758809196905308,0.04601052631578948,0.8157355952032759
631,631,Dante,BRA,Nice,Ligue 1,1983,34,DF,0.029150000000000002,0.12582,0.129434501471069,0.0,0.8391342497806377
633,633,M·rton D·rdai,GER,Hertha BSC,Bundesliga,2002,12,DF,0.06744745762711865,0.06506,0.10335214994006757,0.0036,0.22053231939163498
637,637,Matteo Darmian,ITA,Inter,Serie A,1989,25,DF,0.0,0.047279999999999996,0.07212498202026807,0.09022105263157895,0.4404796724188359
640,640,Alphonso Davies,CAN,Bayern Munich,Bundesliga,2000,22,DF,0.0010000000000000002,0.048600000000000004,0.10883589190367224,0.0048,0.5086282538754022
641,641,Ben Davies,WAL,Tottenham,Premier League,1993,29,DF,0.05171101694915255,0.0654,0.09705901710798735,0.030673684210526315,0.7420298332845862
