,Id,Name,Nation,Team,League,Born,Mac,Pos,Dripling,Press,Pas,Şut,Gole_katkı,Dakika
172,172,Nedim Bajrami,ALB,Sassuolo,Serie A,1999,1,MF,0.1859281246259868,0.016088709677419356,0.07905304651720092,0.23286713286713287,0.0,0.011116481391976801
173,173,C�dric Bakambu,COD,Marseille,Ligue 1,1991,3,MF,0.08102807160773515,0.18598592524774557,0.21296780513199667,0.0,0.12882882882882882,0.02803286611889802
176,176,Tommaso Baldanzi,ITA,Empoli,Serie A,2003,13,MF,0.08449429027961552,0.13579942259010058,0.2448565892796038,0.18836367836367837,0.11200000000000002,0.3711938134364427
179,179,Carlos Baleba,CMR,Lille,Ligue 1,2004,9,MF,0.1385709062204639,0.2233687869102782,0.2299740589205228,0.0428967428967429,0.0,0.12953117448042534
189,189,Filippo Bandinelli,ITA,Empoli,Serie A,1995,22,MF,0.06179941362762765,0.1336178905312153,0.25098396512165205,0.04597177597177597,0.05600000000000001,0.7274045432576124
191,191,Shandon Baptiste,GRN,Brentford,Premier League,1998,12,MF,0.09056241547156009,0.17278970143052105,0.2718629480622632,0.014685314685314685,0.0,0.20782986950217497
192,192,Anton�n Bar�k,CZE,Hellas Verona,Serie A,1994,1,MF,0.2222122559707122,0.04028225806451613,0.265394975715593,0.0,0.0,0.011599806669888834
193,193,Anton�n Bar�k,CZE,Fiorentina,Serie A,1994,17,MF,0.0909733178201364,0.09799733570129103,0.23700080079515606,0.0496919296919297,0.028000000000000004,0.4823586273562107
194,194,Andrea Barberis,ITA,Monza,Serie A,1993,7,MF,0.010035005834305716,0.18069378573364137,0.1749312480957055,0.0,0.026126126126126126,0.15224746254229096
197,197,Keidi Bare,ALB,Espanyol,La Liga,1997,11,MF,0.06074851975077518,0.21196772651982523,0.18929893345787355,0.05397845397845399,0.0,0.15901401643305946
198,198,Nicol� Barella,ITA,Inter,Serie A,1997,20,MF,0.10759569274630999,0.1414467012489944,0.2757772506227287,0.12813519813519814,0.16522522522522523,0.7771870468825519
201,201,Aymen Barkok,MAR,Mainz 05,Bundesliga,1998,11,MF,0.1834671239902511,0.1804705297650012,0.22553472234050237,0.055715155715155715,0.026126126126126126,0.14789753504108266
202,202,Harvey Barnes,ENG,Leicester City,Premier League,1997,20,MFFW,0.11584059205836508,0.10457726454435416,0.17192326354734544,0.1774283374283374,0.22850450450450455,0.819236346060899
203,203,Leandro Barreiro Martins,LUX,Mainz 05,Bundesliga,2000,18,MF,0.02583293278390626,0.14652270543655518,0.11929488473010921,0.04536424536424536,0.015315315315315317,0.5229579507008216
205,205,Micka�l Barreto,FRA,Ajaccio,Ligue 1,1991,7,MF,0.17935585229660508,0.27409046642751983,0.38063513685700606,0.0,0.023423423423423424,0.1652972450459159
206,206,Pablo Barrios,ESP,Atl�tico Madrid,La Liga,2003,5,MF,0.0011249725879773182,0.13652269887101176,0.22196340791519859,0.04685314685314686,0.0,0.12953117448042534
209,209,Toma Ba�i?,CRO,Lazio,Serie A,1996,14,MF,0.05331912274092926,0.16723062777001335,0.19635147524686952,0.05104895104895105,0.0,0.17979700338327695
213,213,Rodrigo Battaglia,ARG,Mallorca,La Liga,1991,13,MF,0.012374372106637195,0.1472585010633984,0.15209921250617509,0.0,0.0,0.3185113581440309
217,217,Julian Baumgartlinger,AUT,Augsburg,Bundesliga,1988,7,MF,0.017866966931025755,0.10605241095740313,0.20269846380771211,0.01921921921921922,0.0,0.13388110198163364
218,218,Christoph Baumgartner,AUT,Hoffenheim,Bundesliga,1999,20,MFFW,0.08745508631444494,0.1628709646763178,0.19325118051022344,0.11141834141834142,0.15531531531531534,0.7728371193813436
219,219,Cyrille Bayala,BFA,Ajaccio,Ligue 1,1996,22,MF,0.10530634435620742,0.21661316078150064,0.15808697706570962,0.052013062013062016,0.03430630630630631,0.611406476558724
227,227,Julius Beck,DEN,Spezia,Serie A,2005,1,MF,0.0,0.012746358243214174,0.01735679591760915,0.0,0.0,0.004349927501208313
231,231,Donny van de Beek,NED,Manchester Utd,Premier League,1997,7,MF,0.04735837960862545,0.05061145996440185,0.2085951309215703,0.0,0.0,0.08023199613339778
235,235,Alexis Beka Beka,FRA,Nice,Ligue 1,2001,8,MF,0.0760253550531968,0.20587318075410652,0.2583376519960755,0.022377622377622378,0.0,0.13291445142580957
237,237,Youcef Bela�li,ALG,Ajaccio,Ligue 1,1992,12,MFFW,0.18883053682021705,0.09876859692898728,0.286625928799377,0.11177681177681179,0.17063063063063064,0.3765103914934751
239,239,Haris Belkebla,ALG,Brest,Ligue 1,1994,22,MF,0.03924862775355085,0.2613941471410742,0.23398478431766034,0.05505827505827506,0.028000000000000004,0.7206379893668439
244,244,Jean-Ricner Bellegarde,FRA,Strasbourg,Ligue 1,1998,19,MF,0.1793893013330426,0.1564533141021678,0.36812505675800045,0.05453600453600453,0.05322522522522523,0.7675205413243112
246,246,Jude Bellingham,ENG,Dortmund,Bundesliga,2003,19,MF,0.21390443673020618,0.21693970666919304,0.26347907740708265,0.0743008043008043,0.13091891891891894,0.8163363943934268
249,249,Fran Beltr�n,ESP,Celta Vigo,La Liga,1999,20,MF,0.026609811991553652,0.14584741133928136,0.20897906031127528,0.007799407799407799,0.005405405405405406,0.7796036732721121
251,251,Salim Ben Seghir,FRA,Marseille,Ligue 1,2003,1,MF,0.0,0.0004849112348910159,0.0007813967156975895,0.0,0.0,0.0014499758337361045
254,254,Marco Benassi,ITA,Cremonese,Serie A,1994,3,MF,0.002217036172695449,0.08951959257788579,0.15302059498943965,0.06643356643356643,0.0,0.08893185113581441
255,255,Isma�l Bennacer,ALG,Milan,Serie A,1997,19,MF,0.09235542369499444,0.2467974763372084,0.23767290715354203,0.06985068985068986,0.03340540540540541,0.6824552924117931
258,258,Nabil Bentaleb,ALG,Angers,Ligue 1,1994,18,MF,0.1302016104263598,0.28223638643710003,0.36228834811818367,0.032111762111762115,0.07221621621621623,0.7332044465925568
259,259,Rodrigo Bentancur,URU,Tottenham,Premier League,1997,18,MF,0.09184884142435415,0.1774440248349543,0.26223024858134697,0.16545895545895548,0.15081081081081082,0.7245045915901401
265,265,Patrick Berg,NOR,Lens,Ligue 1,1997,3,MFFW,0.07491563554555682,0.11586551090896882,0.401078375083857,0.0,0.0,0.011599806669888834
272,272,Jason Berthomier,FRA,Clermont Foot,Ligue 1,1990,2,MF,0.0,0.05237903225806451,0.2530651583497177,0.0,0.0,0.010633156114064766
276,276,Alessandro Bianco,ITA,Fiorentina,Serie A,2002,3,MF,0.021589818775570205,0.12715113332990868,0.1651863602264086,0.05804195804195804,0.0,0.053649105848235866
283,283,Philip Billing,DEN,Bournemouth,Premier League,1996,21,MFFW,0.06863814198377831,0.1563249349003115,0.15688432539281488,0.06492282492282492,0.11740540540540542,0.751087481875302
284,284,Jean-Claude Billong,CMR,Clermont Foot,Ligue 1,1993,1,MF,0.0,0.10554789704231658,0.23227415750362862,0.0,0.0,0.010633156114064766
288,288,Tom Bischof,GER,Hoffenheim,Bundesliga,2005,6,MFFW,0.09190600008137839,0.25189904500285587,0.23555145746982106,0.026573426573426574,0.0,0.11309811503141615
289,289,Yves Bissouma,MLI,Tottenham,Premier League,1996,20,MF,0.04593266057059843,0.15165972702419878,0.26812712172335945,0.006606606606606606,0.0,0.3929434509424843
290,290,Kristijan Bistrovi?,CRO,Lecce,Serie A,1998,11,MF,0.009551460676516951,0.053321684351778406,0.15997212229383984,0.0013986013986013986,0.0,0.222329627839536
293,293,Blanco,ESP,C�diz,La Liga,2000,3,MF,0.019132847600584348,0.30339152107416567,0.16963709916671776,0.0,0.0,0.07588206863218946
296,296,Ludovic Blas,FRA,Nantes,Ligue 1,1997,22,MFFW,0.15934469728682157,0.13410893331893267,0.2519932937694831,0.11659505659505658,0.11650450450450452,0.8052199130014499
304,304,Kevin-Prince Boateng,GHA,Hertha BSC,Bundesliga,1987,9,MF,0.015073115860517437,0.106445430039838,0.1998411407408488,0.0,0.0,0.0637989366843886
305,305,Antonin Bobichon,FRA,Angers,Ligue 1,1995,3,MF,0.0011668611435239203,0.006658427142197016,0.03587542481482884,0.003496503496503497,0.0,0.008216529724504592
306,306,Jean-Paul Bo�tius,NED,Hertha BSC,Bundesliga,1994,14,MF,0.01569899692786602,0.16265878890286922,0.21736055921035194,0.03238203238203238,0.0,0.36201063315611404
307,307,Jeremie Boga,CIV,Atalanta,Serie A,1997,12,MFFW,0.29893805146006014,0.0805346922186013,0.33405027659722586,0.0748018648018648,0.1307027027027027,0.18946350894151764
308,308,Emil Bohinen,NOR,Salernitana,Serie A,1999,10,MF,0.03284025027793346,0.29099570331806673,0.2752037403593116,0.0,0.0,0.16288061865635572
309,309,Quentin Boisgard,FRA,Lorient,Ligue 1,1997,5,MF,0.004533957759364093,0.009101816329788489,0.0603935264247559,0.06715617715617717,0.028000000000000004,0.08844852585790237
311,311,Giacomo Bonaventura,ITA,Fiorentina,Serie A,1989,18,MF,0.07292919975078255,0.17971180974399015,0.2398679884173756,0.09307776307776308,0.084,0.6447559207346544
313,313,Warren Bondo,FRA,Monza,Serie A,2003,4,MF,0.27147503216822044,0.1195496861983439,0.28573193169501165,0.0,0.0,0.028516191396810053
314,314,Theo Bongonda,COD,C�diz,La Liga,1995,14,MF,0.16931304281088863,0.10343159668035158,0.10596754086459509,0.08064911064911065,0.07581981981981983,0.3900434992750121
326,326,Hicham Boudaoui,ALG,Nice,Ligue 1,1999,13,MF,0.0753923213765359,0.3013409037848353,0.2747047685443773,0.016083916083916086,0.010810810810810811,0.37216046399226677
332,332,Mehdi Bourabia,MAR,Spezia,Serie A,1991,22,MF,0.08441281043232249,0.17488715349191247,0.2750382814285074,0.010695310695310694,0.00990990990990991,0.804736587723538
333,333,Benjamin Bourigeaud,FRA,Rennes,Ligue 1,1994,21,MFFW,0.05331498365163607,0.14691773287918633,0.4865928839893817,0.07383460383460383,0.10742342342342343,0.8206863218946351
334,334,Edoardo Bove,ITA,Roma,Serie A,2002,10,MF,0.0008084024502771458,0.017364099412250453,0.011712529442259768,0.003496503496503497,0.0,0.0860318994683422
337,337,Jayden Braaf,NED,Hellas Verona,Serie A,2002,1,MF,0.04279621415249709,0.04593761469487027,0.029892421156696103,0.0,0.0,0.034316094731754475
342,342,Julian Brandt,GER,Dortmund,Bundesliga,1996,20,MFFW,0.13840902483595696,0.10397423562116036,0.32259596733375157,0.1433610533610534,0.18962162162162163,0.7220879652005799
343,343,Darko Bra�anac,SRB,Osasuna,La Liga,1992,18,MF,0.05031788702967827,0.18086634650052433,0.1686665812514862,0.08184149184149185,0.038810810810810815,0.3600773320444659
349,349,Josip Brekalo,CRO,Wolfsburg,Bundesliga,1998,6,MFFW,0.09660389876901693,0.09074811472857917,0.2705400845903791,0.0428967428967429,0.029729729729729728,0.1304978250362494
355,355,Marcelo Brozovi?,CRO,Inter,Serie A,1992,11,MF,0.06344237221190892,0.17124996344433768,0.23681419052766395,0.13279447279447282,0.05600000000000001,0.30932817786370226
360,360,Bryan,ESP,Tottenham,Premier League,2001,4,MFFW,0.11930949602257374,0.1475108419033747,0.23381930888078292,0.04405594405594406,0.05675675675675676,0.07104881585306912
365,365,Emi Buend�a,ARG,Aston Villa,Premier League,1996,21,MFFW,0.09015596686181554,0.18096388220842644,0.3061203972962177,0.05054453054453054,0.084,0.5891735137747703
370,370,Cristian Buonaiuto,ITA,Cremonese,Serie A,1992,16,MFFW,0.20768310720759758,0.20021153778724357,0.2613972881298003,0.16598731598731598,0.0,0.25277912034799416
371,371,Facundo Buonanotte,ARG,Brighton,Premier League,2004,1,MFFW,0.0005834305717619602,0.0012096774193548388,0.013785576736321846,0.0,0.0,0.007249879168680522
374,374,Jonathan Burkardt,GER,Mainz 05,Bundesliga,2000,11,MFFW,0.14461670347450734,0.05032951316508198,0.15674055944552662,0.16876666876666874,0.058630630630630634,0.2571290478492025
378,378,Sergio Busquets,ESP,Barcelona,La Liga,1988,18,MF,0.02246675592199909,0.24661333342664898,0.39462905404406234,0.004895104895104895,0.006306306306306306,0.6288061865635572
383,383,R�my Cabella,FRA,Lille,Ligue 1,1990,16,MFFW,0.11874465881885643,0.19284536950453154,0.5133961412517245,0.1505737205737206,0.15254054054054056,0.5780570323827936
388,388,Caf�,POR,Nott'ham Forest,Premier League,1993,1,MF,0.0,0.0012096774193548388,0.006923903214704291,0.0,0.0,0.002899951667472209
389,389,Mois�s Caicedo,ECU,Brighton,Premier League,2001,20,MF,0.04105792186078496,0.2249889378972702,0.24151198066563398,0.04211575211575212,0.03250450450450451,0.8351860802319961
390,390,Tom Cairney,SCO,Fulham,Premier League,1991,22,MF,0.12133411334566341,0.17042130345961945,0.462933297847514,0.022822822822822823,0.0,0.22716288061865636
391,391,Jens Cajuste,SWE,Reims,Ligue 1,1999,16,MF,0.10008554245284772,0.2953557510203388,0.18553794432024664,0.055650895650895656,0.03790990990990992,0.4142097631706138
399,399,Hakan �alhano�lu,TUR,Inter,Serie A,1994,20,MF,0.03875103826028884,0.1909698590500123,0.3949692482523653,0.052815472815472816,0.08212612612612613,0.7375543740937651
404,404,Mahdi Camara,FRA,Brest,Ligue 1,1998,17,MF,0.034818696341644514,0.27402848363506505,0.16268515230591518,0.025693525693525697,0.0,0.55582406959884
405,405,Mohamed Camara,GUI,Roma,Serie A,1997,9,MF,0.057831243031168114,0.21764981769358469,0.2374386042025612,0.0,0.0,0.18173030449492508
406,406,Mohamed Camara,MLI,Monaco,Ligue 1,2000,18,MF,0.07887224020362338,0.3307209500554171,0.3033134013276093,0.03647073647073647,0.011711711711711712,0.6679555340744321
415,415,Emre Can,GER,Dortmund,Bundesliga,1994,14,MF,0.04594137198619928,0.2130834707686189,0.28617528654746816,0.0,0.0,0.35234412759787337
423,423,Ander Capa,ESP,Athletic Club,La Liga,1992,2,MFFW,0.0,0.0,0.008391157834859456,0.0,0.0,0.0033832769453842437
425,425,�tienne Capoue,FRA,Villarreal,La Liga,1988,15,MF,0.07726737979191241,0.12265683362514462,0.2704767906064857,0.031378231378231376,0.0,0.5669405509908167
426,426,Gianluca Caprari,ITA,Monza,Serie A,1993,21,MFFW,0.13749959673879747,0.08681261966049805,0.22872787318497861,0.06896343896343898,0.11830630630630633,0.6408893185113581
429,429,Maxence Caqueret,FRA,Lyon,Ligue 1,2000,20,MF,0.0774632940029836,0.29260806678159396,0.43028976048086537,0.07137025137025138,0.04421621621621622,0.7066215563073949
431,431,Valentin Carboni,ITA,Inter,Serie A,2005,2,MFFW,0.0011668611435239203,0.008478144606974675,0.022543380728581218,0.0,0.0,0.0019333011116481392
434,434,Irvin Cardona,FRA,Augsburg,Bundesliga,1997,1,MF,0.019486581096849472,0.17999371848643325,0.07949678832171517,0.0,0.0,0.025132914451425813
439,439,Jos� Carlos Lazo,ESP,Almer�a,La Liga,1996,1,MFFW,0.0022082830112108145,0.0012096774193548388,0.00854000781525276,0.0064995064995065,0.0,0.00918318028032866
440,440,Jos� Carlos Lazo,ESP,Espanyol,La Liga,1996,8,MFFW,0.11238569036692872,0.23990822884309762,0.13025377934516424,0.132983682983683,0.028000000000000004,0.06089898501691639
441,441,Carmona,ESP,Elche,La Liga,2002,3,MF,0.16215407533334775,0.22644929892303947,0.09585561583232152,0.1757817257817258,0.028000000000000004,0.12566457225712904
446,446,Fabio Carvalho,POR,Liverpool,Premier League,2002,11,MFFW,0.06412585429340893,0.223248351778272,0.1738352681998433,0.21515970515970517,0.05600000000000001,0.1623972933784437
448,448,William Carvalho,POR,Betis,La Liga,1992,18,MF,0.07255402760872935,0.1385151096696531,0.22978111287439762,0.06974358974358974,0.06230630630630631,0.6500724987916868
450,450,Casemiro,BRA,Manchester Utd,Premier League,1992,17,MF,0.03284917692985741,0.2818898869244129,0.316844994308769,0.08259224259224258,0.07581981981981983,0.5940067665538907
451,451,Casemiro,BRA,Real Madrid,La Liga,1992,1,MF,0.0,0.00967741935483871,0.0260095607359708,0.0,0.0,0.0033832769453842437
454,454,Michele Castagnetti,ITA,Cremonese,Serie A,1989,14,MF,0.031326273871788504,0.22113749499130322,0.3778393565354104,0.009090909090909092,0.0,0.3296278395360077
460,460,Gaetano Castrovilli,ITA,Fiorentina,Serie A,1997,3,MF,0.07642677979138254,0.23890309316756506,0.09469195312995236,0.1003003003003003,0.0,0.026582890285161916
461,461,Danilo Cataldi,ITA,Lazio,Serie A,1994,20,MF,0.028807504264675855,0.18527231003141928,0.26787669594131575,0.018288918288918286,0.005405405405405406,0.6742387626872886
466,466,Dani Ceballos,ESP,Real Madrid,La Liga,1996,13,MF,0.15835651730616296,0.27039779704033234,0.281315986838058,0.022377622377622378,0.014414414414414413,0.2730787820202996
472,472,Franco Cervi,ARG,Celta Vigo,La Liga,1994,19,MF,0.08483233341431307,0.29149772707661037,0.20327140257119597,0.039527289527289525,0.012612612612612612,0.6350894151764137
476,476,Florian Chabrolle,FRA,Ajaccio,Ligue 1,1998,6,MF,0.009566423800292174,0.18152118544977558,0.1613461014892654,0.01958041958041958,0.0,0.15466408893185113
479,479,Nathaniel Chalobah,ENG,Fulham,Premier League,1994,4,MF,0.0,0.010726143768315991,0.022275057241552453,0.006993006993006994,0.0,0.005316578057032383
485,485,Xavier Chavalerin,FRA,Troyes,Ligue 1,1991,20,MF,0.02982159067480423,0.158698117266437,0.20910733667689813,0.09683823683823684,0.06771171171171173,0.653455775737071
487,487,Rayan Cherki,FRA,Lyon,Ligue 1,2003,19,MFFW,0.37027458862122603,0.102880140842234,0.5179036221747559,0.07857493857493858,0.09113513513513515,0.3354277428709521
494,494,Pedro Chirivella,ESP,Nantes,Ligue 1,1997,19,MF,0.03313197424697106,0.11361518336059581,0.38093999887849583,0.01958041958041958,0.005405405405405406,0.7689705171580473
495,495,Joris Chotard,FRA,Montpellier,Ligue 1,2001,19,MF,0.03125593393037285,0.20615715453339678,0.22727270559232166,0.0,0.006306306306306306,0.6186563557274045
