,Id,Name,Nation,Team,League,Born,Mac,Pos,Dripling,Press,Pas,Şut,Gole_katkı,Dakika
364,364,Ante Budimir,CRO,Osasuna,La Liga,1991,16,FW,0.12004852111213696,0.06197945195816282,0.09763378361231885,0.10085806085806086,0.064,0.41855969067182214
368,368,Adam Buksa,POL,Lens,Ligue 1,1996,4,FWMF,0.09580981037234769,0.045169940381134886,0.12001228760358913,0.0,0.0,0.02996616723054616
369,369,Marius B�lter,GER,Schalke 04,Bundesliga,1993,20,FWMF,0.16369239874809394,0.08095093639376601,0.23868823227434371,0.07647136647136647,0.096,0.7196713388110197
373,373,Delano Burgzorg,NED,Mainz 05,Bundesliga,1998,10,FWMF,0.17985689839230132,0.0566807436941891,0.1099914148796163,0.10048825048825048,0.025825825825825825,0.1014983083615273
375,375,Oliver Burke,SCO,Werder Bremen,Bundesliga,1997,15,FWMF,0.11471329666424052,0.03734422322358233,0.05467984483384565,0.23904428904428904,0.064,0.1290478492025133
381,381,Jamie Bynoe-Gittens,ENG,Dortmund,Bundesliga,2004,9,FWMF,0.2263815130537822,0.09433052826429328,0.15876516160247856,0.1216884016884017,0.096,0.13726437892701787
403,403,Dominic Calvert-Lewin,ENG,Everton,Premier League,1997,11,FW,0.14851347559742312,0.04091885857399144,0.08156705079988043,0.0656876456876457,0.032,0.3528274528757854
407,407,Ousmane Camara,GUI,Auxerre,Ligue 1,2001,3,FWMF,0.2722998245158924,0.18576365701690833,0.4724173430328028,0.15,0.0,0.011116481391976801
410,410,Nicol� Cambiaghi,ITA,Empoli,Serie A,2000,16,FWMF,0.20362606571624547,0.14287941032232124,0.20047881854150518,0.1908946008946009,0.07421021021021021,0.250845819236346
412,412,Axel Camblan,FRA,Brest,Ligue 1,2003,7,FWMF,0.09018402904144308,0.054082943856241794,0.1433018237237849,0.11655011655011656,0.0,0.032382793620106334
413,413,Sergio Camello,ESP,Rayo Vallecano,La Liga,2001,20,FW,0.0933458803104378,0.05219847694572166,0.10415797572249373,0.12417753417753417,0.17141141141141142,0.6911551474142097
414,414,Chem Campbell,WAL,Wolves,Premier League,2002,5,FWMF,0.1522175456721524,0.12256675425855565,0.058493370910425405,0.0,0.0,0.03528274528757854
416,416,Sergio Canales,ESP,Betis,La Liga,1991,18,FWMF,0.14070094736577934,0.12690001747679353,0.3609284554369206,0.10263781263781264,0.09960360360360361,0.7027549540840986
417,417,Matteo Cancellieri,ITA,Lazio,Serie A,2002,14,FW,0.23722169877403482,0.14936753610965836,0.12120346336813737,0.059462609462609464,0.0,0.1000483325277912
421,421,Thomas Cannon,IRL,Everton,Premier League,2002,2,FW,0.10334648636086075,0.06723790322580644,0.1468987523134969,0.3104895104895105,0.0,0.011599806669888834
422,422,Sergi Can�s,ESP,Brentford,Premier League,1997,5,FWDF,0.28458197432517124,0.13456690058622472,0.19171619875707988,0.0,0.0,0.03673272112131465
427,427,Francesco Caputo,ITA,Sampdoria,Serie A,1987,15,FW,0.08479916457977807,0.022670007802801814,0.08432232458120786,0.06615636615636615,0.032,0.528274528757854
428,428,Francesco Caputo,ITA,Empoli,Serie A,1987,7,FWMF,0.11177120328663608,0.03807144415739305,0.1302996444634672,0.09855162855162856,0.05061861861861862,0.28322861285645234
433,433,Irvin Cardona,FRA,Brest,Ligue 1,1997,10,FWMF,0.11917946828872175,0.08938599958845303,0.11761572521461022,0.08891198891198893,0.0,0.11213146447559208
435,435,Igor Carioca,BRA,Lorient,Ligue 1,1996,1,FW,0.0051458553982603175,0.015211511539024485,0.012281464656540036,0.0,0.0,0.004833252779120348
456,456,Valent�n Castellanos,ARG,Girona,La Liga,1998,20,FW,0.11294105125162372,0.05673278675601492,0.08112003512398161,0.10333081333081334,0.128,0.7283711938134364
458,458,Samu Castillejo,ESP,Valencia,La Liga,1995,16,FW,0.20308247044773461,0.1615216095249717,0.22959645067475848,0.09846342846342844,0.096,0.4635089415176413
463,463,Yoann Cathline,FRA,Lorient,Ligue 1,2002,10,FWMF,0.2667578599494694,0.10565031417710657,0.1805006165586395,0.1716758016758017,0.04160960960960961,0.26389560173997095
465,465,Edinson Cavani,URU,Valencia,La Liga,1987,14,FW,0.04072104171165562,0.04527370295594099,0.1288749173451697,0.12292131292131292,0.1606006006006006,0.4562590623489608
468,468,Assan Ceesay,GAM,Lecce,Serie A,1994,18,FW,0.12214190951266163,0.1284457208407279,0.07273825847220197,0.08014742014742016,0.096,0.44852585790236826
469,469,Emil Ceide,NOR,Sassuolo,Serie A,2001,12,FW,0.2936914691963701,0.09086942921701165,0.17037479120408297,0.0,0.0,0.15031416143064283
473,473,Julio C�sar Enciso,PAR,Brighton,Premier League,2004,5,FWMF,0.1805539053634521,0.030555590731300843,0.09686331653987507,0.09833679833679834,0.0,0.06283228612856452
478,478,Fares Cha�bi,FRA,Toulouse,Ligue 1,2002,20,FWMF,0.1271435596580316,0.14672180139673818,0.1849151578796861,0.11406098406098406,0.14361561561561562,0.6597390043499275
483,483,Ga�tan Charbonnier,FRA,Auxerre,Ligue 1,1988,6,FWMF,0.07243084249372275,0.09044926444562647,0.22051733393005318,0.08023310023310024,0.032,0.12228129531174481
486,486,Pep Chavarr�a,ESP,Rayo Vallecano,La Liga,1998,7,FWDF,0.12075139036811812,0.10523175015223546,0.21798120275426563,0.0,0.0,0.04543257612373127
500,500,Samuel Chukwueze,NGA,Villarreal,La Liga,1999,19,FWMF,0.3022076822956318,0.08989089355695258,0.2656315030075892,0.06773703773703774,0.04281081081081081,0.48670855485741904
501,501,Darko Churlinov,MKD,Stuttgart,Bundesliga,2000,1,FW,0.0,0.4540585077848611,0.05480154888673766,0.0,0.0,0.012566457225712905
505,505,Daniel Ciofani,ITA,Cremonese,Serie A,1985,18,FW,0.09000600889166246,0.06727382190641278,0.12028257542789031,0.1975833175833176,0.096,0.22377960367327213
511,511,Alexis Claude-Maurice,FRA,Nice,Ligue 1,1998,2,FW,0.04081487695293297,0.3831142413311989,0.23128301094861436,0.0,0.0,0.030449492508458194
523,523,Diego Collado,ESP,Villarreal,La Liga,2001,2,FW,0.0076955454850815876,0.0020161290322580645,0.025606793545847287,0.0,0.0,0.0024166263895601743
526,526,Lorenzo Colombo,ITA,Lecce,Serie A,2002,20,FW,0.12560552482128873,0.09875178575162746,0.11309262049543745,0.15192717192717192,0.13881081081081081,0.4765587240212663
529,529,Kingsley Coman,FRA,Bayern Munich,Bundesliga,1996,14,FWMF,0.3433685195852913,0.07875765248157138,0.34087982204124767,0.13372708372708375,0.14962162162162163,0.36152730787820203
542,542,Maxwel Cornet,CIV,West Ham,Premier League,1996,5,FW,0.003780478178133459,0.002556829318493101,0.011667567813217176,0.0009324009324009325,0.0,0.04349927501208313
543,543,Jes�s Corona,MEX,Sevilla,La Liga,1993,1,FW,0.12179327757783634,0.03801268231661876,0.14887523024153715,0.0,0.0,0.029482841952634124
545,545,Joaqu�n Correa,ARG,Inter,Serie A,1994,17,FW,0.14326607233373018,0.09902799740712832,0.15214119804562706,0.23534807534807534,0.10861261261261261,0.21024649589173514
550,550,Diego Costa,ESP,Wolves,Premier League,1988,10,FW,0.10427098164221213,0.1133788031454176,0.07738772612040352,0.10936180936180936,0.0,0.31077815369743833
553,553,Nuno da Costa,CPV,Auxerre,Ligue 1,1991,19,FWMF,0.11909555958160238,0.18773334674631184,0.13361953639142238,0.12335790335790336,0.1008048048048048,0.55582406959884
569,569,Juan Cruz,ESP,Betis,La Liga,2000,5,FW,0.19667406881920302,0.1501523391779378,0.09761364118586138,0.10456876456876457,0.032,0.08361527307878203
575,575,Matheus Cunha,BRA,Wolves,Premier League,1999,5,FW,0.1419916035166858,0.09728711839755802,0.10459912722167419,0.08241668241668243,0.0,0.12034799420009666
576,576,Matheus Cunha,BRA,Atl�tico Madrid,La Liga,1999,11,FWMF,0.15308709959141426,0.08011252679919782,0.14003913814620197,0.03933723933723934,0.028828828828828826,0.18173030449492508
580,580,Luca D'Andrea,ITA,Sassuolo,Serie A,2004,5,FW,0.17323908130333368,0.07787419296417034,0.17113149781236023,0.09324954324954325,0.017417417417417414,0.15224746254229096
582,582,Moanes Dabbur,ISR,Hoffenheim,Bundesliga,1992,13,FW,0.14076176114884328,0.07904301530303086,0.07920374631679482,0.12411705411705415,0.16,0.26099565007249875
586,586,Patson Daka,ZAM,Leicester City,Premier League,1998,17,FW,0.11822560661470928,0.08036210975594503,0.1394672777446143,0.23287721287721289,0.11882282282282283,0.3407443209279845
587,587,Thijs Dallinga,NED,Toulouse,Ligue 1,2000,21,FW,0.06336218150544708,0.03993651388547806,0.11754483629642162,0.20764253764253765,0.22820420420420423,0.5833736104398259
595,595,Arnaut Danjuma,NED,Tottenham,Premier League,1997,1,FW,0.024866321770314802,0.008064516129032258,0.05502330174782524,0.0,0.0,0.005316578057032383
596,596,Arnaut Danjuma,NED,Villarreal,La Liga,1997,10,FW,0.12322363822205636,0.11436410667231062,0.1341641383091115,0.10848862848862847,0.064,0.23102948284195263
605,605,Jonathan David,CAN,Lille,Ligue 1,2000,21,FW,0.1734412353404784,0.08207773550558736,0.16885420427985498,0.20296163296163297,0.3966126126126126,0.8496858385693572
614,614,Manuel De Luca,ITA,Sampdoria,Serie A,1998,1,FW,0.004044464112706927,0.0015120967741935483,0.08458813584912936,0.0,0.0,0.015466408893185112
620,620,Gr�goire Defrel,MTQ,Sassuolo,Serie A,1991,10,FW,0.10731914281761132,0.06334980365731684,0.099120723844207,0.16007308007308008,0.032,0.19429676172063798
623,623,Romain Del Castillo,FRA,Brest,Ligue 1,1996,12,FWMF,0.24767353255758306,0.22474966984846606,0.2922273764608468,0.12279405279405281,0.15442642642642643,0.29434509424842914
628,628,Sacha Delaye,FRA,Montpellier,Ligue 1,2002,3,FWMF,0.0035934827639076713,0.006860623205644064,0.02117805139805429,0.02358092358092358,0.032,0.00918318028032866
630,630,Andy Delort,ALG,Nice,Ligue 1,1991,14,FW,0.09708943329256833,0.028012116029304313,0.15855895793660388,0.1394745794745795,0.19860660660660662,0.3769937167713871
631,631,Andy Delort,ALG,Nantes,Ligue 1,1991,2,FW,0.08793194465584689,0.3734213254777393,0.14507669979549861,0.0,0.0,0.013533107781536975
632,632,Karamoko Dembele,SCO,Brest,Ligue 1,2003,11,FWMF,0.2315705367450176,0.05528375274595215,0.26445796513852515,0.13333333333333333,0.0,0.05896568390526825
633,633,Moussa Demb�l�,FRA,Lyon,Ligue 1,1996,15,FWMF,0.11506008039314265,0.09215573101031281,0.12553973905028967,0.11335664335664336,0.064,0.2948284195263412
634,634,Ousmane Demb�l�,FRA,Barcelona,La Liga,1997,18,FW,0.2529291150029303,0.08829427115544515,0.24084652361561526,0.17300951300951303,0.18462462462462462,0.5311744804253262
635,635,Siriki Demb�l�,CIV,Bournemouth,Premier League,1996,6,FWMF,0.23952055926008026,0.08728619053472036,0.3397509131845465,0.1557109557109557,0.0,0.05268245529241179
636,636,Siriki Demb�l�,CIV,Auxerre,Ligue 1,1996,1,FW,0.017156800825930997,0.008164045173197496,0.033911548371487084,0.0,0.0,0.005316578057032383
639,639,Ermedin Demirovi?,BIH,Augsburg,Bundesliga,1998,19,FWMF,0.1239932582900613,0.10834811509233085,0.13430293862568782,0.17495999495999498,0.23120720720720725,0.7254712421459643
